"","w_I","w_O","b_IO","b_OI","b_O","t"
"1000 Investments Group Limited ",-0.29,-0.3,-0.44,-0.44,0,-0.54
"11420 Corp. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"2000 Investment Group Ltd ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"200G PSA Holdings LLC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"79th Tribunal of Guarantees Control   ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"7th Criminal Guarantee Court of Pichincha ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"A & M Support Group Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"A little of everything ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"A roof for my country. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Abdala Makled García ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Abdiel Cano & Asociados ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Abraham Edgardo Ortega ",1.59,-0.69,1.24,-0.44,0,0.02
"Abraham José Shiera Bastidas ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Absolut Orange Skand, Inc. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Activenca, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Ad´oro S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adán Coromoto Chávez Frías  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adar Foundation ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adel El Zabayar ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Administradora Serdeco, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Administrative Service of Identification, Migration and Foreigners  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adnan El Maaz ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adrian Antonio Perdomo Mata  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Adrián José Velásquez Figueroa ",-0.3,11.64,6.28,6.28,0,12.22
"Adriano Castellanos P ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Adriatic Global International ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aequitas Abogados & Consultores Asociados, S.L ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"AFA Epic 5303, LLC  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Agencia Vehículos Especiales Rurales and Urbanos, C.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Agregados y Servicios del Caribe ASC ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Airca 5282 S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aire Fresco ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aishop, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Aivepet Inspecciones Panama, S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alba Alimentos de El Salvador  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Alba Alimentos de Nicaragua S.A. ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Alba de Nicaragua, S.A.  ",-0.69,-0.3,0.4,-0.44,0,-0.54
"Alba fertilizantes ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Alba Gas  ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Alba Pesca ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Alba Petróleos El Salvador, S.E.M.  ",-0.69,-0.3,-0.44,-0.44,0,-0.82
"Albino Ferreras ",-0.3,-0.69,-0.44,-0.44,0,-0.82
"Alcides Rondón ",1.59,1.7,2.08,1.24,0,2.51
"Alejandra Urdaneta Tovar ",-0.69,-0.3,-0.44,-0.44,0,-0.82
